Item Name,Price,Date Purchased,Selling Platform,Selling Price,Platform Fees,Shipping Cost,Payout
Supreme Football Gloves,72,12/25/2018,Grailed,78,10,5,63
Supreme Teddy Bear,202,12/19/2018,Stockx,260,23,7,230
Supreme Box Logo Crewneck,180,12/2/2018,Stockx,650,48,12.58,589.42
Jordan Retro Sports Illustrated,172,12/15/2018,Grailed,200,10,5,185
Supreme Handwarmer,68,12/18/2018,Stockx,76,6,5,65
Jordan 6 Infrared,217,2/2/2019,Returned,217,0,0,217
Offwhite Air Max 90 ,172,2/7/2019,Stockx,500,60,0,440
Bape x Ultraboost ,272,2/4/2019,Grailed,435,36,5,394
Jordan Hyper Crimsons,274,1/28/2019,Stockx,350,10,12,328
Jordan UNC Patents,120,2/14/2019,Unreleased,465,45,0,420
